Estágio 1,Saldo inicial em 01/01/2023,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Contratos finalizados,Baixas para prejuízo,Originação / (recebimento),Saldo final em 30/06/2023,Saldo final em 31/12/2022
Cartão de crédito,5.893.995,(488.790),(172),43.678,82,(1.584.567),,2.633.772,6.497.998,5.893.995
Empresas,3.378.982,(35.094),,21.624,,(4.313.851),,4.142.242,3.193.903,3.378.982
Imobiliário,5.843.066,(698.409),(254),378.018,63.551,(335.142),,1.215.174,6.466.004,5.843.066
Pessoal,4.941.344,(153.333),,20.892,1.741,(295.911),,1.323.316,5.838.049,4.941.344
Rural,718.115,(1.833),,,,(112.643),,120.504,724.143,718.115
Total,20.775.502,(1.377.459),(426),464.212,65.374,(6.642.114),,9.435.008,22.720.097,20.775.502
Estágio 2,Saldo inicial em 01/01/2023,Transferência para estágio,Transferência para estágio 3,Transferência do estágio,Transferência do estágio 3,Contratos finalizados,Baixas para prejuízo,Originação / (recebimento),Saldo final em 30/06/2023,Saldo final em 31/12/2022
Cartão de crédito,335.422,(43.678),(664.721),488.790,,(638.735),,924.029,401.107,335.422
Empresas,10.476,(21.624),(9.691),35.094,249,(1.451),,(1.627),11.426,10.476
Imobiliário,280.633,(378.018),(233.909),698.409,84.936,(23.632),,(3.655),424.764,280.633
Pessoal,290.510,(20.892),(196.678),153.333,4.458,(100.839),,207.058,336.950,290.510
Rural,,,,1.833,,(1.712),,(121),,
Total,917.041,(464.212),(1.104.999),1.377.459,89.643,(766.369),,1.125.684,1.174.247,917.041
Estágio 3,Saldo inicial em 01/01/2023,Transferência para estágio,Transferência para estágio 2,Transferência do estágio,Transferência do estágio 2,Contratos finalizados,Baixas para prejuízo,Originação / (recebimento),Saldo final em 30/6/2023,Saldo final em 31/12/2022
Cartão de crédito,641.147,(82),,172,664.721,(144.835),(418.736),39.519,781.906,641.147
Empresas,3.042,,(249),,9.691,(66),(1.942),(489),9.987,3.042
Imobiliário,128.113,(63.551),(84.936),254,233.909,(75.894),(7.856),(374),129.665,128.113
Pessoal,231.929,(1.741),(4.458),,196.678,(42.940),(50.742),(3.245),325.481,231.929
Rural,1.554,,,,,,(1.554),,,1.554
Total,1.005.785,(65.374),(89.643),426,1.104.999,(263.735),(480.830),35.411,1.247.039,1.005.785
Consolidado,,,,,Saldo inicial em 01/01/2023,Contratos,Baixas para prejuízo,Originação / (recebimento),Saldo final em 30/06/2023,Saldo final em 31/12/2022
Cartão de crédito,,,,,6.870.564,finalizados,(418.736),,7.681.011,6.870.564
,,,,,,(2.368.137),,3.597.320,,
Empresas,,,,,3.392.500,(4.315.368),(1.942),4.140.126,3.215.316,3.392.500
Imobiliário,,,,,6.251.812,(434.668),(7.856),1.211.145,,6.251.812
Pessoal,,,,,5.463.783,(439.690),(50.742),1.527.129,6.500.480,5.463.783
Rural,,,,,719.669,(114.355),(1.554),,724.143,719.669
Total,,,,,22.698.328,(7.672.218),(480.830),10.596.103,25.141.383,22.698.328
