Estágio 1,Saldo inicial em 01/01/2022,Transferência para Estágio 2,Transferência para Estágio 3,Transferência do Estágio 2,Transferência do Estágio 3,Contratos finalizados,Baixas para prejuízo,Constituição (Reversão),em 30/09/2022
Imobiliário,49.569,(3.335),(1.825),4.597,2004,(6.551),,17.892,62.351
Pessoal,57.344,(2.015),(5.700),940,462,(10.382),,55.086,95.732
Empresas,12.586,(51),(329),41,606,(3.908),,1.449,10.760
Cartão de crédito,202.481,(3.103),(194),986,,(72.137),,246.026,373.699
Rural,25.677,,(56),,,(13.605),,18.200,30.216
,347.657,(8.504),(8.104),6.564,3.075,(106.583),,338.653,572.758
Estágio 2,Saldo inicial em 01/01/2022,Transferência para Estágio 1,Transferência para Estágio 3,Transferência do Estágio 1,Transferência do Estágio 3,Contratos finalizados,Baixas para prejuízo,Constituição (Reversão),Saldo final em 30/09/2022
Imobiliário,13.361,(4.597),(1.661),3.335,2.124,(1.781),,3.831,14.612
Pessoal,11.095,(940),(4.400),2.015,218,(3.286),(26),10.290,14.966
Empresas,324,(41),(156),51,,,,(92),85
Cartão de crédito,29.101,(986),(5.300),3.103,15,(22.356),,67.375,70.952
,53.882,(6.564),(71.517),8.504,2.357,(27.424),(26),81.404,100.615
Estágio 3,Saldo inicial em 01/01/2022,Transferência para Estágio 1,Transferência para Estágio 2,Transferência do Estágio 1,Transferência do Estágio 2,Contratos finalizados,Baixas para prejuízo,Constituição (Reversão),Saldo final em 30/09/2022
Imobiliário,17.062,(2.004),(2.124),1.825,1.661,(7.478),(1.613),10.834,18.163
Pessoal,73.065,(462),(218),5.700,4.400,(11.959),(43.758),137.033,164.801
Empresas,3.110,(606),,329,156,(776),(564),(255),1.394
Cartão de crédito,186.157,(3),(15),194,5.300,(159.731),(10.509),306.166,327.559
Rural,,,,56,,,,19,75
,279.393,(3.075),(2.357),8.104,71.517,(179.944),(56.444),453.797,510.992
Consolidado,,,,,Saldo inicial em 01/01/2022,Contratos finalizados,Baixas para prejuízo,Constituição (Reversão),Saldo final em 30/09/2022
Imobiliário,,,,,79.992,(15.810),(1.613),32.557,95.126
Pessoal,,,,,141.504,(25.627),(43.784),202.409,274.502
Empresas,,,,,16.020,(4.685),(564),1.102,71.873
Cartão de crédito,,,,,417.739,(254.224),(10.509),,772.573
Rural,,,,,25.677,(13.605),,18.219,30.291
,,,,,680.933,(313.951),(56.470),873.854,1.184.365
